device cuda | backbone film_unet | k=16
φ 27.92M + encoder 0.33M + transport 6.8K
training episode combinations 900 | 50000 steps
step   3750  L=0.1185  src=0.0712  tgt=0.0238  trans=0.0234  gain=+0.0004  |dz|=1.451  3.6 it/s
step   3800  L=0.3728  src=0.0537  tgt=0.1594  trans=0.1594  gain=-0.0000  |dz|=1.852  3.6 it/s
step   3850  L=0.1109  src=0.0581  tgt=0.0264  trans=0.0263  gain=+0.0000  |dz|=1.245  3.6 it/s
step   3900  L=0.1302  src=0.0706  tgt=0.0298  trans=0.0297  gain=+0.0001  |dz|=1.239  3.7 it/s
step   3950  L=0.3324  src=0.0565  tgt=0.1379  trans=0.1379  gain=-0.0000  |dz|=1.651  3.7 it/s
step   4000  L=0.1295  src=0.0859  tgt=0.0218  trans=0.0217  gain=+0.0001  |dz|=1.195  3.7 it/s
  [diagnostics @ 4000] loss_correct=0.0799  loss_zero=0.0837  loss_shuffled=0.0911  loss_random=0.0844  loss_target_only=0.0801  loss_mean_z=0.0830  r_basis=0.0372  |dz_transport|=1.4271  z_s_vs_enc_rel=3.3304  z_spread_rel=1.1898  gain_vs_zero=0.0038  gain_vs_shuffled=0.0112  gain_vs_target_only=0.0002  gain_vs_mean_z=0.0030  delta_task=0.0030  z_center_norm=0.1589  task_specific_frac=0.8057
  saved /opt/ml/code/checkpoints/film128_step4000.pt
step   4050  L=0.1266  src=0.0530  tgt=0.0368  trans=0.0366  gain=+0.0002  |dz|=1.711  3.6 it/s
step   4100  L=0.1813  src=0.0832  tgt=0.0495  trans=0.0486  gain=+0.0008  |dz|=1.586  3.6 it/s
step   4150  L=0.0601  src=0.0242  tgt=0.0181  trans=0.0178  gain=+0.0002  |dz|=1.420  3.6 it/s
step   4200  L=0.5501  src=0.0622  tgt=0.2440  trans=0.2436  gain=+0.0005  |dz|=2.335  3.6 it/s
step   4250  L=0.1508  src=0.0913  tgt=0.0298  trans=0.0296  gain=+0.0002  |dz|=1.559  3.6 it/s
step   4300  L=0.5476  src=0.0473  tgt=0.2500  trans=0.2501  gain=-0.0000  |dz|=2.067  3.6 it/s
step   4350  L=0.1199  src=0.0657  tgt=0.0271  trans=0.0271  gain=+0.0000  |dz|=1.669  3.6 it/s
step   4400  L=0.1654  src=0.1015  tgt=0.0318  trans=0.0318  gain=-0.0000  |dz|=1.788  3.6 it/s
step   4450  L=0.1512  src=0.0753  tgt=0.0379  trans=0.0379  gain=+0.0000  |dz|=1.159  3.6 it/s
step   4500  L=0.1339  src=0.0576  tgt=0.0380  trans=0.0381  gain=-0.0001  |dz|=1.713  3.7 it/s
  [diagnostics @ 4500] loss_correct=0.0886  loss_zero=0.0933  loss_shuffled=0.0974  loss_random=0.0937  loss_target_only=0.0887  loss_mean_z=0.0929  r_basis=0.0418  |dz_transport|=1.4621  z_s_vs_enc_rel=3.7508  z_spread_rel=1.1217  gain_vs_zero=0.0047  gain_vs_shuffled=0.0088  gain_vs_target_only=0.0002  gain_vs_mean_z=0.0044  delta_task=0.0044  z_center_norm=0.0949  task_specific_frac=0.9272
step   4550  L=0.1267  src=0.0788  tgt=0.0238  trans=0.0239  gain=-0.0001  |dz|=1.575  3.6 it/s
step   4600  L=0.1210  src=0.0591  tgt=0.0310  trans=0.0308  gain=+0.0002  |dz|=1.169  3.6 it/s
step   4650  L=0.4072  src=0.0692  tgt=0.1689  trans=0.1689  gain=+0.0000  |dz|=1.314  3.6 it/s
step   4700  L=0.1284  src=0.0514  tgt=0.0385  trans=0.0385  gain=+0.0001  |dz|=1.171  3.6 it/s
step   4750  L=0.1334  src=0.0590  tgt=0.0372  trans=0.0371  gain=+0.0001  |dz|=1.155  3.6 it/s
step   4800  L=0.3724  src=0.0656  tgt=0.1532  trans=0.1534  gain=-0.0003  |dz|=1.374  3.6 it/s
step   4850  L=0.1288  src=0.0639  tgt=0.0323  trans=0.0324  gain=-0.0001  |dz|=1.223  3.6 it/s
step   4900  L=0.4587  src=0.0553  tgt=0.2019  trans=0.2015  gain=+0.0004  |dz|=1.435  3.6 it/s
step   4950  L=0.1566  src=0.0907  tgt=0.0331  trans=0.0328  gain=+0.0003  |dz|=1.687  3.6 it/s
