device cuda | backbone small_unet | k=16
  [diagnostics @ 5000] loss_correct=0.0927  loss_zero=0.1184  loss_shuffled=0.0932  loss_random=0.1201  loss_target_only=0.0927  loss_mean_z=0.0935  r_basis=0.2007  |dz_transport|=0.1777  z_s_vs_enc_rel=0.2852  z_spread_rel=0.3868  gain_vs_zero=0.0258  gain_vs_shuffled=0.0005  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0008  delta_task=0.0008  z_center_norm=0.2803  task_specific_frac=0.0325
    ⚠ gain_vs_zero=0.0258 looks healthy but only 3.2% of it is task-specific: one shared mean coordinate does just as well, so the basis is a constant offset, not adaptation
step   5050  L=0.0901  src=0.0372  tgt=0.0264  trans=0.0264  gain=-0.0000  |dz|=0.172  6.1 it/s
step   5100  L=0.1162  src=0.0744  tgt=0.0210  trans=0.0208  gain=+0.0001  |dz|=0.169  6.2 it/s
step   5150  L=0.4441  src=0.0576  tgt=0.1933  trans=0.1932  gain=+0.0002  |dz|=0.277  6.2 it/s
step   5200  L=0.1784  src=0.1141  tgt=0.0322  trans=0.0321  gain=+0.0001  |dz|=0.162  6.2 it/s
step   5250  L=0.2928  src=0.0430  tgt=0.1249  trans=0.1249  gain=-0.0000  |dz|=0.277  6.2 it/s
step   5300  L=0.5102  src=0.0691  tgt=0.2205  trans=0.2205  gain=-0.0000  |dz|=0.258  6.2 it/s
step   5350  L=0.1751  src=0.0980  tgt=0.0385  trans=0.0385  gain=+0.0000  |dz|=0.165  6.2 it/s
step   5400  L=0.1100  src=0.0611  tgt=0.0245  trans=0.0244  gain=+0.0001  |dz|=0.107  6.2 it/s
step   5450  L=0.4822  src=0.0802  tgt=0.2010  trans=0.2010  gain=+0.0000  |dz|=0.254  6.2 it/s
step   5500  L=0.0951  src=0.0467  tgt=0.0242  trans=0.0241  gain=+0.0001  |dz|=0.167  6.2 it/s
  [diagnostics @ 5500] loss_correct=0.0903  loss_zero=0.1115  loss_shuffled=0.0909  loss_random=0.1133  loss_target_only=0.0904  loss_mean_z=0.0910  r_basis=0.1819  |dz_transport|=0.1737  z_s_vs_enc_rel=0.3758  z_spread_rel=0.4463  gain_vs_zero=0.0212  gain_vs_shuffled=0.0006  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0007  delta_task=0.0007  z_center_norm=0.2543  task_specific_frac=0.0327
    ⚠ gain_vs_zero=0.0212 looks healthy but only 3.3% of it is task-specific: one shared mean coordinate does just as well, so the basis is a constant offset, not adaptation
step   5550  L=0.2161  src=0.0838  tgt=0.0661  trans=0.0661  gain=+0.0000  |dz|=0.110  6.1 it/s
step   5600  L=0.0862  src=0.0300  tgt=0.0281  trans=0.0281  gain=-0.0000  |dz|=0.109  6.2 it/s
step   5650  L=0.1319  src=0.0626  tgt=0.0347  trans=0.0347  gain=+0.0000  |dz|=0.113  6.2 it/s
step   5700  L=0.1168  src=0.0576  tgt=0.0296  trans=0.0296  gain=+0.0001  |dz|=0.177  6.2 it/s
step   5750  L=0.1414  src=0.0577  tgt=0.0419  trans=0.0418  gain=+0.0001  |dz|=0.174  6.2 it/s
step   5800  L=0.4026  src=0.0765  tgt=0.1631  trans=0.1630  gain=+0.0002  |dz|=0.237  6.2 it/s
step   5850  L=0.1296  src=0.0535  tgt=0.0381  trans=0.0380  gain=+0.0001  |dz|=0.158  6.2 it/s
step   5900  L=0.0881  src=0.0486  tgt=0.0197  trans=0.0198  gain=-0.0001  |dz|=0.164  6.2 it/s
step   5950  L=0.4473  src=0.0634  tgt=0.1920  trans=0.1920  gain=-0.0000  |dz|=0.241  6.2 it/s
step   6000  L=0.1310  src=0.0818  tgt=0.0246  trans=0.0246  gain=-0.0000  |dz|=0.164  6.2 it/s
  [diagnostics @ 6000] loss_correct=0.0791  loss_zero=0.0979  loss_shuffled=0.0799  loss_random=0.0997  loss_target_only=0.0792  loss_mean_z=0.0799  r_basis=0.1650  |dz_transport|=0.1817  z_s_vs_enc_rel=0.4716  z_spread_rel=0.4918  gain_vs_zero=0.0188  gain_vs_shuffled=0.0007  gain_vs_target_only=0.0000  gain_vs_mean_z=0.0007  delta_task=0.0007  z_center_norm=0.2279  task_specific_frac=0.0375
    ⚠ gain_vs_zero=0.0188 looks healthy but only 3.7% of it is task-specific: one shared mean coordinate does just as well, so the basis is a constant offset, not adaptation
  saved /opt/ml/code/checkpoints/ctr128_off_step6000.pt
step   6050  L=0.4411  src=0.0576  tgt=0.1918  trans=0.1917  gain=+0.0001  |dz|=0.245  6.1 it/s
step   6100  L=0.3952  src=0.0580  tgt=0.1686  trans=0.1686  gain=-0.0000  |dz|=0.232  6.1 it/s
step   6150  L=0.1124  src=0.0580  tgt=0.0272  trans=0.0271  gain=+0.0001  |dz|=0.167  6.2 it/s
step   6200  L=0.0968  src=0.0414  tgt=0.0277  trans=0.0277  gain=+0.0000  |dz|=0.172  6.2 it/s
step   6250  L=0.3118  src=0.0457  tgt=0.1331  trans=0.1329  gain=+0.0001  |dz|=0.225  6.2 it/s
step   6300  L=0.0912  src=0.0453  tgt=0.0230  trans=0.0229  gain=+0.0000  |dz|=0.166  6.2 it/s
step   6350  L=0.4781  src=0.0489  tgt=0.2146  trans=0.2146  gain=-0.0000  |dz|=0.236  6.2 it/s
step   6400  L=0.1420  src=0.0551  tgt=0.0435  trans=0.0434  gain=+0.0000  |dz|=0.110  6.2 it/s
step   6450  L=0.1169  src=0.0670  tgt=0.0249  trans=0.0250  gain=-0.0001  |dz|=0.110  6.2 it/s
step   6500  L=0.3735  src=0.0488  tgt=0.1624  trans=0.1623  gain=+0.0001  |dz|=0.215  6.2 it/s
  [diagnostics @ 6500] loss_correct=0.0766  loss_zero=0.0930  loss_shuffled=0.0772  loss_random=0.0944  loss_target_only=0.0766  loss_mean_z=0.0773  r_basis=0.1515  |dz_transport|=0.1754  z_s_vs_enc_rel=0.5382  z_spread_rel=0.5452  gain_vs_zero=0.0164  gain_vs_shuffled=0.0006  gain_vs_target_only=0.0000  gain_vs_mean_z=0.0007  delta_task=0.0007  z_center_norm=0.2051  task_specific_frac=0.0414
    ⚠ gain_vs_zero=0.0164 looks healthy but only 4.1% of it is task-specific: one shared mean coordinate does just as well, so the basis is a constant offset, not adaptation
step   6550  L=0.1718  src=0.1032  tgt=0.0343  trans=0.0343  gain=-0.0001  |dz|=0.105  6.1 it/s
step   6600  L=0.3354  src=0.0728  tgt=0.1312  trans=0.1313  gain=-0.0001  |dz|=0.203  6.2 it/s
step   6650  L=0.1050  src=0.0626  tgt=0.0212  trans=0.0212  gain=+0.0000  |dz|=0.165  6.2 it/s
step   6700  L=0.0991  src=0.0553  tgt=0.0219  trans=0.0219  gain=+0.0000  |dz|=0.109  6.2 it/s
step   6750  L=0.0779  src=0.0337  tgt=0.0221  trans=0.0220  gain=+0.0001  |dz|=0.176  6.2 it/s
step   6800  L=0.1731  src=0.0824  tgt=0.0453  trans=0.0454  gain=-0.0001  |dz|=0.165  6.2 it/s
step   6850  L=0.1103  src=0.0399  tgt=0.0353  trans=0.0351  gain=+0.0002  |dz|=0.108  6.2 it/s
step   6900  L=0.1621  src=0.0791  tgt=0.0415  trans=0.0415  gain=+0.0000  |dz|=0.108  6.2 it/s
step   6950  L=0.1215  src=0.0527  tgt=0.0344  trans=0.0345  gain=-0.0001  |dz|=0.162  6.2 it/s
step   7000  L=0.1018  src=0.0667  tgt=0.0176  trans=0.0175  gain=+0.0001  |dz|=0.162  6.2 it/s
  [diagnostics @ 7000] loss_correct=0.0589  loss_zero=0.0736  loss_shuffled=0.0593  loss_random=0.0749  loss_target_only=0.0589  loss_mean_z=0.0597  r_basis=0.1399  |dz_transport|=0.1611  z_s_vs_enc_rel=0.5696  z_spread_rel=0.5025  gain_vs_zero=0.0146  gain_vs_shuffled=0.0004  gain_vs_target_only=0.0000  gain_vs_mean_z=0.0008  delta_task=0.0008  z_center_norm=0.1805  task_specific_frac=0.0516
step   7050  L=0.1266  src=0.0661  tgt=0.0303  trans=0.0303  gain=+0.0000  |dz|=0.112  6.1 it/s
step   7100  L=0.1176  src=0.0663  tgt=0.0256  trans=0.0256  gain=+0.0000  |dz|=0.117  6.2 it/s
step   7150  L=0.1634  src=0.0863  tgt=0.0386  trans=0.0385  gain=+0.0001  |dz|=0.157  6.2 it/s
step   7200  L=0.0911  src=0.0495  tgt=0.0208  trans=0.0209  gain=-0.0001  |dz|=0.157  6.2 it/s
step   7250  L=0.0604  src=0.0318  tgt=0.0144  trans=0.0142  gain=+0.0002  |dz|=0.113  6.2 it/s
step   7300  L=0.1384  src=0.0575  tgt=0.0404  trans=0.0405  gain=-0.0000  |dz|=0.113  6.2 it/s
step   7350  L=0.3489  src=0.0847  tgt=0.1322  trans=0.1321  gain=+0.0001  |dz|=0.222  6.2 it/s
step   7400  L=0.1051  src=0.0608  tgt=0.0222  trans=0.0222  gain=-0.0000  |dz|=0.150  6.2 it/s
step   7450  L=0.1303  src=0.0689  tgt=0.0308  trans=0.0306  gain=+0.0002  |dz|=0.142  6.2 it/s
step   7500  L=0.1271  src=0.0489  tgt=0.0391  trans=0.0391  gain=+0.0000  |dz|=0.148  6.2 it/s
  [diagnostics @ 7500] loss_correct=0.0787  loss_zero=0.0898  loss_shuffled=0.0795  loss_random=0.0910  loss_target_only=0.0788  loss_mean_z=0.0794  r_basis=0.1210  |dz_transport|=0.1805  z_s_vs_enc_rel=0.7081  z_spread_rel=0.5988  gain_vs_zero=0.0111  gain_vs_shuffled=0.0008  gain_vs_target_only=0.0000  gain_vs_mean_z=0.0007  delta_task=0.0007  z_center_norm=0.1627  task_specific_frac=0.0592
step   7550  L=0.1184  src=0.0415  tgt=0.0384  trans=0.0385  gain=-0.0001  |dz|=0.109  6.1 it/s
step   7600  L=0.3910  src=0.0418  tgt=0.1746  trans=0.1746  gain=+0.0000  |dz|=0.242  6.2 it/s
step   7650  L=0.0977  src=0.0504  tgt=0.0237  trans=0.0236  gain=+0.0001  |dz|=0.151  6.2 it/s
step   7700  L=0.4256  src=0.0599  tgt=0.1828  trans=0.1828  gain=-0.0000  |dz|=0.226  6.2 it/s
step   7750  L=0.1746  src=0.0560  tgt=0.0593  trans=0.0593  gain=-0.0001  |dz|=0.166  6.2 it/s
