REPLAY cifar_train50_film_k16: source checkpoint configuration, transport=linear
device cuda | backbone film_unet | k=16
φ 27.92M + encoder 0.33M + transport 0.4K
training episode combinations 450 | 50000 steps

step   4100  L=0.1080  src=0.0222  tgt=0.0448  trans=0.0410  gain=+0.0038  |dz|=0.574  7.7 it/s
step   4150  L=0.1154  src=0.0495  tgt=0.0329  trans=0.0329  gain=+0.0000  |dz|=0.547  7.8 it/s
step   4200  L=0.3614  src=0.0963  tgt=0.1325  trans=0.1325  gain=-0.0000  |dz|=0.672  7.8 it/s
step   4250  L=0.1368  src=0.0684  tgt=0.0342  trans=0.0342  gain=+0.0000  |dz|=0.592  7.8 it/s
step   4300  L=0.4371  src=0.0630  tgt=0.1871  trans=0.1870  gain=+0.0000  |dz|=0.624  7.8 it/s
step   4350  L=0.1512  src=0.0702  tgt=0.0408  trans=0.0401  gain=+0.0007  |dz|=0.631  7.8 it/s
step   4400  L=0.1304  src=0.0766  tgt=0.0270  trans=0.0268  gain=+0.0002  |dz|=0.586  7.8 it/s
step   4450  L=0.1260  src=0.0530  tgt=0.0364  trans=0.0366  gain=-0.0001  |dz|=0.411  7.8 it/s
step   4500  L=0.1395  src=0.0666  tgt=0.0365  trans=0.0364  gain=+0.0001  |dz|=0.571  7.8 it/s
step   4550  L=0.0924  src=0.0358  tgt=0.0284  trans=0.0282  gain=+0.0002  |dz|=0.567  7.8 it/s
step   4600  L=0.1146  src=0.0449  tgt=0.0349  trans=0.0347  gain=+0.0002  |dz|=0.454  7.8 it/s
step   4650  L=0.3626  src=0.0610  tgt=0.1508  trans=0.1508  gain=+0.0001  |dz|=0.655  7.8 it/s
step   4700  L=0.1052  src=0.0459  tgt=0.0296  trans=0.0297  gain=-0.0000  |dz|=0.441  7.8 it/s
step   4750  L=0.1355  src=0.0619  tgt=0.0368  trans=0.0368  gain=+0.0000  |dz|=0.398  7.8 it/s
step   4800  L=0.2139  src=0.0304  tgt=0.0918  trans=0.0916  gain=+0.0002  |dz|=0.770  7.8 it/s
step   4850  L=0.1086  src=0.0780  tgt=0.0153  trans=0.0152  gain=+0.0001  |dz|=0.409  7.8 it/s
step   4900  L=0.3836  src=0.0551  tgt=0.1642  trans=0.1642  gain=-0.0000  |dz|=0.698  7.8 it/s
step   4950  L=0.1018  src=0.0439  tgt=0.0292  trans=0.0287  gain=+0.0005  |dz|=0.578  7.8 it/s
step   5000  L=0.3604  src=0.0445  tgt=0.1578  trans=0.1580  gain=-0.0002  |dz|=0.735  7.8 it/s
step   5050  L=0.1355  src=0.0775  tgt=0.0290  trans=0.0290  gain=-0.0000  |dz|=0.585  7.8 it/s
